text,label
"Drake won the battle off bars, rebuttals, and angles.",lyrical_analysis
"Jay's MSG freestyle had more lyrical density than Iceman.",lyrical_analysis
"Family Matters was a great diss track because of the layered wordplay.",lyrical_analysis
"All the bars went over your head.",lyrical_analysis
"Kendrick's repetition on Not Like Us made the record more effective.",lyrical_analysis
"Jay-Z's flow switches carried the freestyle.",lyrical_analysis
"The punchlines hit harder on Family Matters.",lyrical_analysis
"Drake's delivery sold the record better than the lyrics themselves.",lyrical_analysis
"The rhyme patterns on that verse were more complex than people realize.",lyrical_analysis
"Kendrick structured the diss better from a songwriting perspective.",lyrical_analysis
"Kendrick has always been lyrically deeper and more intricate.",lyrical_analysis
"Family Matters is still a banger.",lyrical_analysis
"Meet The Grahams was a miss as a track.",lyrical_analysis
"Family Matters was probably the best rapping I've seen from Drake ever.",lyrical_analysis
"The second verse where he goes directly at five people was really well written.",lyrical_analysis
"Lyrically he's immaculate.",lyrical_analysis
"Not Like Us is a dull song compared to Euphoria.",lyrical_analysis
"Kendrick's bars were simple and repetitive.",lyrical_analysis
"Nobody wants to compete bar for bar anymore.",lyrical_analysis
"Drake has put out fun music with good bars.",lyrical_analysis
"Drake has been the most streamed rapper for over a decade.",evidence_based_argument
"Jay-Z has more classic albums and a longer run at the top.",evidence_based_argument
"Drake beat Jay's record for number one albums.",evidence_based_argument
"No matter the win or loss he's still the most streamed artist.",evidence_based_argument
"Jay owns a stronger catalog because of Reasonable Doubt and The Blueprint.",evidence_based_argument
"Drake's commercial run is unmatched in modern rap.",evidence_based_argument
"Kendrick has fewer releases but a higher average critical score.",evidence_based_argument
"Sales numbers alone don't determine greatness.",evidence_based_argument
"Jay influenced more rappers across multiple generations.",evidence_based_argument
"Drake's longevity is one of the strongest arguments for his legacy.",evidence_based_argument
"Damn sold some of the highest numbers since Eminem and Kanye.",evidence_based_argument
"Mr Morale sold well and was praised by critics and fans.",evidence_based_argument
"Highest grossing rap tour of all time in 2022.",evidence_based_argument
"He won a Pulitzer and multiple Grammys.",evidence_based_argument
"Drake is the biggest seller and does it consistently.",evidence_based_argument
"Scorpion had a bigger impact than Mr Morale.",evidence_based_argument
"If we look at accolades alone Kendrick has them all beat.",evidence_based_argument
"Drake charted 42 songs on Billboard simultaneously.",evidence_based_argument
"Kendrick was already considered one of the best rappers before the battle.",evidence_based_argument
"His last tour was one of the biggest selling tours in recent years.",evidence_based_argument
"Kendrick won.",opinion_reaction
"I still think Drake is better.",opinion_reaction
"That freestyle was fire.",opinion_reaction
"Jay-Z is the GOAT.",opinion_reaction
"I enjoyed Family Matters more.",opinion_reaction
"Not Like Us is still stuck in my head.",opinion_reaction
"Drake got unfairly judged during this beef.",opinion_reaction
"I've been replaying this all day.",opinion_reaction
"That was one of Kendrick's best moments.",opinion_reaction
"This whole beef has been entertaining.",opinion_reaction
"Kendrick comes out on top no question.",opinion_reaction
"I always hated Drake and respect Kendrick even more now.",opinion_reaction
"I do not care.",opinion_reaction
"Kendrick is top three all time to me now.",opinion_reaction
"I have so much more respect for Kendrick after it.",opinion_reaction
"Nothing has changed Drake sucks Kendrick is good Cole exists.",opinion_reaction
"Drake is still one of my favorites.",opinion_reaction
"The internet has some Kendrick fatigue.",opinion_reaction
"The hate is mostly online.",opinion_reaction
"Social media is not real.",opinion_reaction
"Drake is a clown.",insult_meme
"Trash.",insult_meme
"Ass.",insult_meme
"You're white lol.",insult_meme
"Drake fans will not accept the L.",insult_meme
"K-Anon vs BBL-Anon.",insult_meme
"Certified yapper.",insult_meme
"Bro is coping.",insult_meme
"Delusional take.",insult_meme
"Stop the cap.",insult_meme
"You might actually be retarded.",insult_meme
"None both are trash.",insult_meme
"Drake is still a fraud.",insult_meme
"Cole is still soft.",insult_meme
"Drake was always a joke.",insult_meme
"He is just a visitor in hip hop.",insult_meme
"Kendrick remains unlistenable.",insult_meme
"Worst take yet.",insult_meme
"Awful take.",insult_meme
"Just put the fries in the bag bro.",insult_meme
"Kendrick structured Euphoria perfectly from start to finish.",lyrical_analysis
"Drake's best performance in the beef was Family Matters.",lyrical_analysis
"The flow changes on Euphoria kept the track engaging.",lyrical_analysis
"Meet The Grahams sacrificed replay value for impact.",lyrical_analysis
"Push Ups had stronger punchlines than people admit.",lyrical_analysis
"The production on Not Like Us carried part of its success.",lyrical_analysis
"Jay-Z's MSG freestyle showed elite breath control.",lyrical_analysis
"Kendrick's cadence was more varied throughout the battle.",lyrical_analysis
"The storytelling on Meet The Grahams was unsettling but effective.",lyrical_analysis
"Family Matters had Drake rapping at an elite level.",lyrical_analysis
"Euphoria balanced humor and aggression better than the other disses.",lyrical_analysis
"The beat switches made Family Matters feel cinematic.",lyrical_analysis
"Drake's delivery was stronger than his actual lyrics.",lyrical_analysis
"Kendrick relied heavily on repetition to make his point.",lyrical_analysis
"The wordplay on Family Matters deserves more credit.",lyrical_analysis
"Not Like Us was a simpler song but a more effective record.",lyrical_analysis
"Jay's freestyle had more technical rapping than most current releases.",lyrical_analysis
